Gene	Start	End	Spliced_5_0	Unspliced_5_0	Spliced_5_1	Unspliced_5_1
leader	1	75	130	0	0	0
ORF1ab	266	21555	38598	60	156	0
S	21563	25384	38559	3098	149	63
ORF3a	25393	26220	38528	14291	149	318
E	26245	26472	38504	21641	149	510
M	26523	27191	38496	26033	149	622
ORF6	27202	27387	38438	36661	149	975
ORF7a	27394	27759	38423	41743	149	1208
ORF8	27894	28259	38332	56701	149	2300
N	28274	29533	38252	72891	148	3798
ORF10	29558	29674	37772	150482	146	15985
3UTR	29675	29860	37603	157000	146	17397
